VOC,Temperature,Humidity,Remaining_Days
0.0165,27.0,77.0,10.0
0.0165,27.9,70.0,10.0
0.0165,28.2,71.0,10.0
0.0165,28.2,71.0,10.0
0.0165,28.3,69.0,10.0
0.0165,28.5,70.0,10.0
0.0165,28.5,71.0,10.0
0.0165,28.4,70.0,10.0
0.0165,27.4,76.0,10.0
0.0165,27.4,76.0,10.0
0.0165,27.4,76.0,10.0
0.0165,28.3,69.0,10.0
0.0165,28.3,69.0,10.0
0.0165,28.3,70.0,10.0
0.0165,28.4,71.0,10.0
0.0165,28.3,71.0,10.0
0.0165,28.2,70.0,10.0
0.0165,27.4,76.0,10.0
0.0165,27.5,75.0,10.0
0.0165,26.8,71.0,10.0
0.0165,27.5,73.0,10.0
0.0165,28.2,65.0,10.0
0.0165,28.2,65.0,10.0
0.0165,28.1,65.0,10.0
0.0165,28.1,65.0,10.0
0.0165,28.1,64.0,10.0
0.0165,28.4,68.0,10.0
0.0165,28.5,68.0,10.0
0.0165,28.4,69.0,10.0
0.0165,26.8,71.0,10.0
0.0176,28.5,71.0,10.0
0.0176,28.2,69.0,10.0
0.0176,28.3,71.0,10.0
0.0176,27.4,76.0,10.0
0.0176,27.4,70.0,10.0
0.0176,27.2,77.0,10.0
0.0176,27.2,77.0,10.0
0.0176,27.0,77.0,10.0
0.0176,28.3,64.0,10.0
0.0176,28.3,63.0,10.0
0.0176,28.3,63.0,10.0
0.0176,28.3,63.0,10.0
0.0176,28.3,65.0,10.0
0.0176,28.3,65.0,10.0
0.0176,28.2,63.0,10.0
0.0176,28.4,68.0,10.0
0.0176,28.4,63.0,10.0
0.0176,28.5,63.0,10.0
0.0176,27.8,68.0,10.0
0.0176,28.3,63.0,10.0
0.0176,27.0,77.0,10.0
0.0176,27.5,71.0,10.0
0.0176,26.8,71.0,10.0
0.0176,27.2,76.0,10.0
0.0176,27.1,77.0,10.0
0.0176,27.2,76.0,10.0
0.0176,27.4,75.0,10.0
0.0187,27.1,77.0,10.0
0.0187,27.5,75.0,10.0
0.0187,27.1,77.0,10.0
0.0187,27.0,78.0,10.0
0.0187,28.5,69.0,10.0
0.0187,28.0,69.0,10.0
0.0187,28.2,71.0,10.0
0.0187,28.2,72.0,10.0
0.0187,28.3,71.0,10.0
0.0187,27.4,75.0,10.0
0.0187,28.4,71.0,10.0
0.0187,28.3,70.0,10.0
0.0187,27.4,76.0,10.0
0.0187,27.4,73.0,10.0
0.0187,27.0,77.0,10.0
0.0187,27.0,78.0,10.0
0.0187,27.4,75.0,10.0
0.0187,27.4,75.0,10.0
0.0187,27.4,75.0,10.0
0.0187,27.4,70.0,10.0
0.0187,27.1,77.0,10.0
0.0187,27.0,76.0,10.0
0.0187,27.1,76.0,10.0
0.0187,27.5,73.0,10.0
0.0187,27.4,73.0,10.0
0.0187,27.4,73.0,10.0
0.0187,27.4,71.0,10.0
0.0187,28.5,62.0,10.0
0.0187,28.5,62.0,10.0
0.0187,28.4,62.0,10.0
0.0187,28.5,63.0,10.0
0.0187,28.4,64.0,10.0
0.0187,27.5,72.0,10.0
0.02,27.5,72.0,9.0
0.02,27.5,74.0,9.0
0.02,27.5,73.0,9.0
0.02,28.1,71.0,9.0
0.02,28.4,71.0,9.0
0.02,28.4,70.0,9.0
0.02,28.4,71.0,9.0
0.02,28.5,71.0,9.0
0.02,28.3,69.0,9.0
0.02,28.4,68.0,9.0
0.02,26.8,71.0,9.0
0.02,26.8,71.0,9.0
0.02,27.4,74.0,9.0
0.02,26.8,71.0,9.0
0.02,28.2,63.0,9.0
0.02,27.5,79.0,9.0
0.02,27.4,71.0,9.0
0.02,27.4,73.0,9.0
0.02,27.4,71.0,9.0
0.0212,27.5,73.0,9.0
0.0212,28.3,69.0,9.0
0.0212,27.3,75.0,9.0
0.0212,27.2,76.0,9.0
0.0212,27.2,77.0,9.0
0.0212,28.3,69.0,9.0
0.0212,28.4,69.0,9.0
0.0212,27.5,72.0,9.0
0.0212,27.7,74.0,9.0
0.0212,27.5,74.0,9.0
0.0212,28.3,69.0,9.0
0.0212,27.5,72.0,9.0
0.0212,27.5,73.0,9.0
0.0212,27.5,79.0,9.0
0.0212,27.4,71.0,9.0
0.0212,27.5,79.0,9.0
0.0212,27.5,79.0,9.0
0.0212,27.4,75.0,9.0
0.0212,27.5,73.0,9.0
0.0212,27.4,75.0,9.0
0.0212,27.5,74.0,9.0
0.0212,27.4,75.0,9.0
0.0212,27.4,72.0,9.0
0.0212,27.4,72.0,9.0
0.0212,27.5,76.0,9.0
0.0212,27.4,73.0,9.0
0.0212,27.4,76.0,9.0
0.0212,27.4,74.0,9.0
0.0212,27.4,75.0,9.0
0.0212,27.4,71.0,9.0
0.0212,27.5,77.0,9.0
0.0212,28.3,69.0,9.0
0.0212,27.6,77.0,9.0
0.0212,27.5,74.0,9.0
0.0212,27.5,74.0,9.0
0.0212,27.5,73.0,9.0
0.0212,27.5,73.0,9.0
0.0212,27.5,72.0,9.0
0.0212,27.4,71.0,9.0
0.0212,27.4,73.0,9.0
0.0212,27.5,73.0,9.0
0.0212,27.5,72.0,9.0
0.0212,27.5,72.0,9.0
0.0226,27.4,78.0,9.0
0.0226,27.5,77.0,9.0
0.0226,26.8,71.0,9.0
0.0226,26.8,71.0,9.0
0.0226,27.5,77.0,9.0
0.0226,27.5,73.0,9.0
0.0226,27.4,76.0,9.0
0.0226,26.8,71.0,9.0
0.0226,26.8,71.0,9.0
0.0226,27.5,79.0,9.0
0.0226,27.5,78.0,9.0
0.0226,27.5,79.0,9.0
0.0226,27.5,79.0,9.0
0.0226,28.5,68.0,9.0
0.0226,27.4,76.0,9.0
0.0226,27.5,75.0,9.0
0.0226,27.5,79.0,9.0
0.024,28.2,71.0,9.0
0.024,27.3,76.0,9.0
0.0254,26.8,71.0,9.0
0.0254,26.8,71.0,9.0
0.0254,26.8,71.0,9.0
0.0254,26.8,71.0,9.0
0.0254,26.8,71.0,9.0
0.0269,26.8,71.0,9.0
0.0269,27.9,70.0,9.0
0.0285,28.0,71.0,9.0
0.0285,27.3,76.0,9.0
0.0285,26.8,71.0,9.0
0.0301,26.8,71.0,8.0
0.0301,26.8,71.0,8.0
0.0301,26.8,71.0,8.0
0.0301,28.0,71.0,8.0
0.0318,27.9,70.0,8.0
0.0318,27.9,70.0,8.0
0.0318,28.3,70.0,8.0
0.0335,27.9,70.0,8.0
0.0335,28.0,70.0,8.0
0.0335,28.0,72.0,8.0
0.0335,26.8,71.0,8.0
0.0335,28.0,71.0,8.0
0.0354,26.8,71.0,8.0
0.0354,28.3,70.0,8.0
0.0372,27.9,70.0,8.0
0.0372,26.8,71.0,8.0
0.0372,28.0,70.0,8.0
0.0372,28.0,71.0,8.0
0.0392,27.9,71.0,8.0
0.0392,27.9,70.0,8.0
0.0392,28.0,71.0,8.0
0.0412,28.0,71.0,7.0
0.0412,27.9,71.0,7.0
0.05,27.7,71.0,6.0
0.05,26.8,71.0,6.0
0.0574,27.7,72.0,6.0
0.0685,28.2,69.0,6.0
0.07,24.57,67.83,5.0
0.07,24.5,68.0,5.0
0.07,24.52,67.94,5.0
0.07,24.5,68.0,5.0
0.07,24.59,67.78,5.0
0.07,24.61,67.72,5.0
0.07,24.55,67.89,5.0
0.071,24.75,67.39,5.0
0.071,24.84,67.17,5.0
0.071,24.71,67.5,5.0
0.071,24.78,67.34,5.0
0.071,24.68,67.56,5.0
0.071,24.82,67.23,5.0
0.071,24.8,67.28,5.0
0.071,24.87,67.12,5.0
0.071,24.66,67.61,5.0
0.071,24.73,67.45,5.0
0.071,24.64,67.67,5.0
0.0714,27.6,72.0,5.0
0.072,24.96,66.9,5.0
0.072,25.12,66.51,5.0
0.072,24.94,66.95,5.0
0.072,24.89,67.06,5.0
0.072,24.91,67.01,5.0
0.072,25.1,66.57,5.0
0.072,25.05,66.68,5.0
0.072,24.98,66.84,5.0
0.072,25.0,66.79,5.0
0.072,25.03,66.73,5.0
0.072,25.07,66.62,5.0
0.073,25.14,66.46,5.0
0.073,25.33,66.02,5.0
0.073,25.35,65.96,5.0
0.073,25.37,65.91,5.0
0.073,25.23,66.24,5.0
0.073,25.21,66.29,5.0
0.073,25.19,66.35,5.0
0.073,25.17,66.4,5.0
0.073,25.26,66.18,5.0
0.073,25.28,66.13,5.0
0.073,25.3,66.07,5.0
0.074,25.62,65.3,5.0
0.074,25.49,65.63,5.0
0.074,25.51,65.58,5.0
0.074,25.56,65.47,5.0
0.074,25.53,65.52,5.0
0.074,25.6,65.36,5.0
0.074,25.58,65.41,5.0
0.074,25.42,65.8,5.0
0.074,25.39,65.85,5.0
0.074,25.44,65.74,5.0
0.074,25.46,65.69,5.0
0.0745,27.7,72.0,5.0
0.075,25.67,65.19,5.0
0.075,25.78,64.92,5.0
0.075,25.76,64.97,5.0
0.075,25.74,65.03,5.0
0.075,25.81,64.86,5.0
0.075,25.83,64.81,5.0
0.075,25.69,65.14,5.0
0.075,25.65,65.25,5.0
0.075,25.72,65.08,5.0
0.075,25.85,64.75,5.0
0.076,25.94,64.53,5.0
0.076,25.88,64.7,5.0
0.076,25.92,64.59,5.0
0.076,25.97,64.48,5.0
0.076,26.04,64.31,5.0
0.076,25.9,64.64,5.0
0.076,26.01,64.37,5.0
0.076,25.99,64.42,5.0
0.076,26.06,64.26,5.0
0.076,26.11,64.15,5.0
0.076,26.08,64.2,5.0
0.077,26.29,63.71,5.0
0.077,26.31,63.65,5.0
0.077,26.13,64.09,5.0
0.077,26.15,64.04,5.0
0.077,26.17,63.98,5.0
0.077,26.2,63.93,5.0
0.077,26.24,63.82,5.0
0.077,26.27,63.76,5.0
0.077,26.33,63.6,5.0
0.077,26.36,63.54,5.0
0.077,26.22,63.87,5.0
0.078,26.4,63.43,5.0
0.078,26.38,63.49,5.0
0.078,26.45,63.32,5.0
0.078,26.61,62.94,5.0
0.078,26.56,63.05,5.0
0.078,26.52,63.16,5.0
0.078,26.54,63.1,5.0
0.078,26.5,63.21,5.0
0.078,26.47,63.27,5.0
0.078,26.43,63.38,5.0
0.078,26.59,62.99,5.0
0.079,26.79,62.5,5.0
0.079,26.77,62.55,5.0
0.079,26.75,62.61,5.0
0.079,26.7,62.72,5.0
0.079,26.72,62.66,5.0
0.079,26.86,62.33,5.0
0.079,26.84,62.39,5.0
0.079,26.82,62.44,5.0
0.079,26.63,62.88,5.0
0.079,26.66,62.83,5.0
0.079,26.68,62.77,5.0
0.08,26.91,62.22,4.0
0.08,26.89,62.28,4.0
0.08,26.93,62.17,4.0
0.08,27.0,62.0,4.0
0.08,26.98,62.06,4.0
0.08,25.0,65.0,4.0
0.08,26.95,62.11,4.0
0.081,25.06,64.86,4.0
0.082,25.12,64.73,4.0
0.083,25.18,64.59,4.0
0.084,25.25,64.45,4.0
0.0842,28.2,70.0,4.0
0.085,25.31,64.32,4.0
0.086,25.37,64.18,4.0
0.087,25.43,64.04,4.0
0.088,25.62,63.63,4.0
0.088,25.55,63.77,4.0
0.088,25.49,63.9,4.0
0.088,26.11,62.53,4.0
0.088,25.68,63.49,4.0
0.088,26.29,62.12,4.0
0.088,25.86,63.08,4.0
0.088,25.92,62.95,4.0
0.088,25.8,63.22,4.0
0.088,26.23,62.26,4.0
0.088,26.17,62.4,4.0
0.088,25.74,63.36,4.0
0.088,26.05,62.67,4.0
0.088,25.99,62.81,4.0
0.0912,27.3,76.0,3.0
0.101,26.36,61.99,2.0
0.102,26.97,60.62,2.0
0.102,26.91,60.75,2.0
0.102,26.85,60.89,2.0
0.102,27.03,60.48,2.0
0.102,26.79,61.03,2.0
0.102,26.42,61.85,2.0
0.102,26.48,61.71,2.0
0.102,26.66,61.3,2.0
0.102,26.6,61.44,2.0
0.102,26.73,61.16,2.0
0.102,26.54,61.58,2.0
0.102,27.1,60.34,2.0
0.114,27.16,60.21,2.0
0.1145,27.5,73.0,2.0
0.115,27.22,60.07,2.0
0.115,27.28,59.93,2.0
0.116,27.34,59.79,2.0
0.117,27.4,59.66,2.0
0.117,27.77,58.84,2.0
0.117,27.84,58.7,2.0
0.117,27.96,58.42,2.0
0.117,27.9,58.56,2.0
0.117,27.71,58.97,2.0
0.117,27.53,59.38,2.0
0.117,27.65,59.11,2.0
0.117,27.47,59.52,2.0
0.117,27.59,59.25,2.0
0.1188,28.9,69.0,2.0
0.127,28.02,58.29,2.0
0.128,28.21,57.88,2.0
0.128,28.45,57.33,2.0
0.128,28.39,57.47,2.0
0.128,28.33,57.6,2.0
0.128,28.51,57.19,2.0
0.128,28.08,58.15,2.0
0.128,28.14,58.01,2.0
0.128,28.27,57.74,2.0
0.1322,28.2,70.0,1.0
0.136,28.88,56.37,1.0
0.136,28.58,57.05,1.0
0.136,28.76,56.64,1.0
0.136,28.64,56.92,1.0
0.136,28.7,56.78,1.0
0.136,28.82,56.51,1.0
0.141,28.95,56.23,0.0
0.142,29.01,56.1,0.0
0.142,29.13,55.82,0.0
0.142,29.19,55.68,0.0
0.142,29.07,55.96,0.0
0.146,29.32,55.41,0.0
0.146,29.38,55.27,0.0
0.146,29.25,55.55,0.0
0.148,29.5,55.0,0.0
0.148,29.44,55.14,0.0
0.1518,28.2,69.0,0.0
0.1623,28.2,70.0,0.0
0.1734,27.5,74.0,0.0
0.2163,27.3,77.0,0.0
0.2985,27.3,72.0,0.0
