VOC,Temperature,Humidity,Remaining_Days
0.0134,26.9,78.0,10.0
0.0134,26.9,78.0,10.0
0.0134,27.3,75.0,10.0
0.0134,26.9,78.0,10.0
0.0134,26.8,78.0,10.0
0.0134,26.9,77.0,10.0
0.0134,27.3,77.0,10.0
0.0134,28.2,75.0,10.0
0.0134,27.3,77.0,10.0
0.0134,27.2,76.0,10.0
0.0134,27.1,77.0,10.0
0.0134,28.2,75.0,10.0
0.0134,28.2,74.0,10.0
0.0134,27.4,75.0,10.0
0.0134,27.4,75.0,10.0
0.0134,28.3,73.0,10.0
0.0134,28.3,73.0,10.0
0.0134,28.3,73.0,10.0
0.0134,28.2,73.0,10.0
0.0134,28.5,73.0,10.0
0.0134,27.3,77.0,10.0
0.0134,27.3,78.0,10.0
0.0134,28.3,73.0,10.0
0.0134,28.2,73.0,10.0
0.0134,28.3,73.0,10.0
0.0134,28.3,73.0,10.0
0.0134,28.3,73.0,10.0
0.0134,28.3,74.0,10.0
0.0134,28.5,74.0,10.0
0.0134,28.3,73.0,10.0
0.0134,28.3,74.0,10.0
0.0134,28.3,69.0,10.0
0.0134,28.3,70.0,10.0
0.0134,28.3,70.0,10.0
0.0134,28.3,69.0,10.0
0.0134,28.2,71.0,10.0
0.0134,28.3,73.0,10.0
0.0134,28.3,72.0,10.0
0.0134,28.3,71.0,10.0
0.0134,28.3,71.0,10.0
0.0134,28.3,70.0,10.0
0.0134,28.4,69.0,10.0
0.0134,28.3,70.0,10.0
0.0134,28.3,70.0,10.0
0.0134,28.5,69.0,10.0
0.0134,28.5,69.0,10.0
0.0134,28.5,69.0,10.0
0.0134,27.4,74.0,10.0
0.0134,28.3,71.0,10.0
0.0134,28.3,71.0,10.0
0.0134,28.3,70.0,10.0
0.0134,28.4,72.0,10.0
0.0134,28.3,71.0,10.0
0.0134,28.3,72.0,10.0
0.0134,28.4,71.0,10.0
0.0134,28.3,71.0,10.0
0.0134,28.3,71.0,10.0
0.0134,28.3,72.0,10.0
0.0134,28.4,71.0,10.0
0.0134,28.4,71.0,10.0
0.0134,28.3,71.0,10.0
0.0134,28.3,71.0,10.0
0.0134,28.3,71.0,10.0
0.0134,28.4,70.0,10.0
0.0134,26.9,69.0,10.0
0.0134,28.3,69.0,10.0
0.0134,28.3,70.0,10.0
0.0134,26.8,71.0,10.0
0.0134,28.4,70.0,10.0
0.0134,28.4,69.0,10.0
0.0144,28.8,75.0,10.0
0.0144,26.8,71.0,10.0
0.0144,28.3,71.0,10.0
0.0144,28.5,70.0,10.0
0.0144,28.5,70.0,10.0
0.0144,27.3,76.0,10.0
0.0144,27.3,77.0,10.0
0.0144,27.1,77.0,10.0
0.0144,26.9,77.0,10.0
0.0144,26.8,74.0,10.0
0.0144,27.4,75.0,10.0
0.0144,27.0,77.0,10.0
0.0144,27.0,77.0,10.0
0.0144,27.1,77.0,10.0
0.0144,27.1,77.0,10.0
0.0144,28.3,74.0,10.0
0.0144,28.2,74.0,10.0
0.0144,27.2,77.0,10.0
0.0144,27.4,75.0,10.0
0.0144,27.2,76.0,10.0
0.0144,28.3,75.0,10.0
0.0144,28.3,74.0,10.0
0.0144,28.3,71.0,10.0
0.0144,28.3,71.0,10.0
0.0144,28.4,71.0,10.0
0.0144,28.0,64.0,10.0
0.0144,27.9,64.0,10.0
0.0144,27.8,64.0,10.0
0.0144,28.2,63.0,10.0
0.0144,28.3,72.0,10.0
0.0144,28.1,63.0,10.0
0.0144,28.3,70.0,10.0
0.0144,28.3,71.0,10.0
0.0144,28.0,65.0,10.0
0.0154,27.4,76.0,10.0
0.0154,27.4,75.0,10.0
0.0154,27.4,76.0,10.0
0.0154,27.0,78.0,10.0
0.0154,28.4,71.0,10.0
0.0154,28.3,71.0,10.0
0.0154,28.2,71.0,10.0
0.0154,27.4,72.0,10.0
0.0154,28.4,70.0,10.0
0.0154,27.9,62.0,10.0
0.0154,28.1,63.0,10.0
0.0154,28.3,72.0,10.0
0.0154,28.2,65.0,10.0
0.0154,28.5,61.0,10.0
0.0154,28.5,63.0,10.0
0.0154,28.3,64.0,10.0
0.0165,26.8,71.0,10.0
0.0165,27.2,76.0,10.0
0.0165,27.4,75.0,10.0
