VOC,Temperature,Humidity,VQI,label,status
0.0187,26.2,88,83.8766204156081,1,Moderate
0.0187,26.2,88,83.8766204156081,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.1,88,82.6827649664517,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.02,26.2,88,83.56169793498796,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.02,26.2,88,83.56169793498796,1,Moderate
0.02,26.2,88,83.56169793498796,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.02,26.2,88,83.56169793498796,1,Moderate
0.02,26.2,88,83.56169793498796,1,Moderate
0.02,26.1,88,82.97346264087031,1,Moderate
0.0212,26.1,88,82.6827649664517,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.02,26.2,88,83.56169793498796,1,Moderate
0.02,26.2,88,83.56169793498796,1,Moderate
0.02,26.2,88,83.56169793498796,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.1,88,82.6827649664517,1,Moderate
0.0212,26.2,88,83.27100026056935,1,Moderate
0.0212,26.1,88,82.6827649664517,1,Moderate
0.02,26.1,88,82.97346264087031,1,Moderate
0.02,26.2,88,83.56169793498796,1,Moderate
0.02,26.1,88,82.97346264087031,1,Moderate
0.02,26.2,88,83.56169793498796,1,Moderate
0.02,26.1,88,82.97346264087031,1,Moderate
0.02,26.1,88,82.97346264087031,1,Moderate
0.02,26.1,88,82.97346264087031,1,Moderate
0.02,26.1,88,82.97346264087031,1,Moderate
0.02,26.1,88,82.97346264087031,1,Moderate
0.02,26.1,88,82.97346264087031,1,Moderate
0.024,26.1,88,82.00447039280829,1,Moderate
0.0226,26.1,88,82.34361767962999,1,Moderate
0.0226,26.4,66,86.96546641912578,1,Moderate
