VOC,Temperature,Humidity,actual_vqi,actual_status,pred_class,pred_status,freshness_score,final_price
0.0165,28.1,65.0,88.90644831115658,Fresh,2,Fresh,9.992433285687959,86.66436777903493
0.0176,27.4,75.0,94.58546571136131,Fresh,2,Fresh,9.994840605900386,88.37048031930878
0.0176,28.2,69.0,91.45213237802797,Fresh,2,Fresh,9.999983089168628,87.43562280257702
0.128,28.51,57.19,60.91730296827019,Moderate,1,Moderate,5.844063999086365,74.11925488956743
0.0134,26.9,78.0,89.80194472876151,Fresh,2,Fresh,9.986913173722273,86.92749659235074
0.0099,27.4,76.0,95.06567724326167,Fresh,2,Fresh,9.993405217088466,88.51310839006696
0.0125,27.2,76.0,93.42214261344252,Fresh,2,Fresh,9.993103890079595,88.01974667411234
0.0107,26.3,76.0,88.32920504947118,Fresh,2,Fresh,9.978859213593147,86.4776207284345
0.0092,27.4,75.0,96.01842374616172,Fresh,2,Fresh,9.994606078805033,88.80013320265354
0.0125,28.4,71.0,92.78880928010918,Fresh,2,Fresh,9.996148532938744,87.8327913169715
0.0134,28.3,70.0,92.40194472876149,Fresh,2,Fresh,9.999982213207211,87.72056563183565
0.0078,26.3,75.0,89.65725008529515,Fresh,2,Fresh,9.979803304634927,86.87697833022348
0.08,26.95,62.11,77.16563459570112,Moderate,1,Moderate,6.51905387291199,79.66874425162233
0.074,25.42,65.8,72.08417604913001,Moderate,1,Moderate,6.502889392593594,78.1281422073326
0.0144,27.2,77.0,92.2646878198567,Fresh,2,Fresh,9.99147662366168,87.67088296961869
0.0134,28.5,74.0,89.53527806209483,Fresh,2,Fresh,9.992987988723804,86.85357140735226
0.0125,26.5,76.0,89.22214261344253,Fresh,2,Fresh,9.985568670301308,86.75221145433407
0.0212,27.4,71.0,97.30467417263733,Fresh,2,Fresh,9.999978425297567,89.19138067708876
0.136,28.76,56.64,57.59424769703171,Not Fresh,0,Not Fresh,3.4940449853068563,70.77231929441636
0.0125,27.1,76.0,92.82214261344254,Fresh,2,Fresh,9.992715862574133,87.8393586466069
0.0285,28.0,71.0,92.45936540429886,Fresh,2,Fresh,9.999980975124112,87.73779059641377
0.0176,28.3,63.0,85.85213237802796,Fresh,2,Fresh,9.984599264075737,85.74023897748411
0.0134,28.4,71.0,92.63527806209484,Fresh,2,Fresh,9.99613414043,87.78671755905845
0.146,29.25,55.55,52.04001194131694,Not Fresh,0,Not Fresh,3.12067666360367,68.73268024599875
0.0212,27.4,73.0,95.63800750597066,Fresh,2,Fresh,9.99597721545312,88.68737946724433
0.0212,27.4,73.0,95.63800750597066,Fresh,2,Fresh,9.99597721545312,88.68737946724433
0.0134,28.2,71.0,93.83527806209484,Fresh,2,Fresh,9.99998160932618,88.15056502795463
0.0116,27.2,76.0,93.57567383145685,Fresh,2,Fresh,9.993061554795815,88.06576370423286
0.0092,26.3,75.0,89.41842374616174,Fresh,2,Fresh,9.97988077735727,86.80540790120578
0.0226,26.8,71.0,93.46584783350393,Fresh,2,Fresh,9.989287138310445,88.02904148836161
0.0134,27.4,66.0,94.46861139542818,Fresh,2,Fresh,9.98827756154223,88.32886098017069
0.0116,26.4,76.0,88.77567383145684,Fresh,2,Fresh,9.982691431102406,86.61539358053946
0.0144,28.3,71.0,93.06468781985669,Fresh,2,Fresh,9.999979528862982,87.91938587481998
0.0412,27.9,71.0,90.89286932787444,Fresh,2,Fresh,9.994958749673355,87.26281954803568
0.0372,28.0,71.0,90.97523029682702,Fresh,2,Fresh,9.99997466035139,87.2925437493995
0.0107,28.0,64.0,89.66253838280448,Fresh,2,Fresh,9.990783540879372,86.8895450557207
0.074,25.58,65.41,72.71917604912998,Moderate,1,Moderate,6.504396384163385,78.32014919890239
0.136,28.7,56.78,58.07091436369839,Not Fresh,0,Not Fresh,3.597488844283006,71.01876315339251
0.0176,27.0,77.0,90.51879904469466,Fresh,2,Fresh,9.990672692711396,87.14631240611979
0.0125,27.1,76.0,92.82214261344254,Fresh,2,Fresh,9.992715862574133,87.8393586466069
0.0165,28.4,69.0,90.43978164448994,Fresh,2,Fresh,9.999980064672215,87.1319145580192
0.072,25.12,66.51,71.21702320027296,Moderate,1,Moderate,6.500251573796312,77.86535853387821
0.079,26.77,62.55,76.62289150460595,Moderate,1,Moderate,6.515528694666955,79.50239614604874
